Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Waypoint,India,EPMOI,52.47444,20.64861,,,,EPMO/IFR/VFR,,,,
Waypoint,Quebec,EPMOQ,52.37778,20.18694,,,,EPMO/IFR/VFR,,,,
Waypoint,Sierra,EPMOS,52.60583,20.39944,,,,EPMO/IFR/VFR,,,,
Waypoint,Uniform,EPMOU,52.42917,20.65417,,,,EPMO/IFR/VFR,,,,
Waypoint,Victor,EPMOV,52.39472,20.54056,,,,EPMO/IFR/VFR,,,,
Waypoint,Yankee,EPMOY,52.58000,20.77361,,,,EPMO/IFR/VFR,,,,
Waypoint,Alfa,EPMRA,50.89417,16.77250,,,,EPMR/VFR,,,,
Waypoint,Echo,EPMRE,50.92972,16.90278,,,,EPMR/VFR,,,,
Waypoint,Whiskey,EPMRW,50.95472,16.61694,,,,EPMR/VFR,,,,
Waypoint,Zulu,EPMRZ,50.97778,16.79056,,,,EPMR/VFR,,,,
Waypoint,Alfa,EPNCA,52.64306,20.94167,,,,EPNC/VFR,,,,
Waypoint,Bravo,EPNCB,52.53306,21.08139,,,,EPNC/VFR,,,,
Waypoint,Charlie,EPNCC,52.48861,20.92361,,,,EPNC/VFR,,,,
Waypoint,November,EPODN,53.83500,20.47500,,,,EPOD/VFR,,,,
Waypoint,Sierra,EPODS,53.69583,20.41278,,,,EPOD/VFR,,,,
Waypoint,Whiskey,EPODW,53.74722,20.23556,,,,EPOD/VFR,,,,
Waypoint,Charlie,EPOKC,54.55333,18.48083,,,,EPOK/MIL,,,,
Waypoint,Delta,EPOKD,54.53111,18.37583,,,,EPOK/MIL,,,,
Waypoint,Hotel,EPOKH,54.61028,18.79889,,,,EPOK/MIL,,,,
Waypoint,Juliett,EPOKJ,54.67889,18.72028,,,,EPOK/MIL,,,,
Waypoint,Kilo,EPOKK,54.76972,18.16028,,,,EPOK/MIL,,,,
Waypoint,Lima,EPOKL,54.60500,18.24861,,,,EPOK/MIL,,,,
Waypoint,Oskar,EPOKO,54.48028,18.56417,,,,EPOK/MIL,,,,
Waypoint,Romeo,EPOKR,54.63472,18.51389,,,,EPOK/MIL,,,,
Waypoint,Whiskey,EPOKW,54.79028,18.40833,,,,EPOK/MIL,,,,
Waypoint,Alfa,EPPBA,52.57611,17.00944,,,,EPPB/VFR,,,,
Waypoint,Bravo,EPPBB,52.52139,17.13611,,,,EPPB/VFR,,,,
Waypoint,Lima,EPPBL,52.63250,17.42861,,,,EPPB/VFR,,,,
Waypoint,Oscar,EPPBO,52.67389,17.15278,,,,EPPB/VFR,,,,
Waypoint,Papa,EPPBP,52.47917,17.27722,,,,EPPB/VFR,,,,
Waypoint,Echo,EPPGE,52.29278,16.25000,,,,EPPG/VFR,,,,
Waypoint,Golf,EPPGG,52.23833,16.34111,,,,EPPG/VFR,,,,
Waypoint,Juliet,EPPGJ,52.20528,16.20694,,,,EPPG/VFR,,,,
Waypoint,November,EPPGN,52.26583,16.26000,,,,EPPG/VFR,,,,
Waypoint,Romeo,EPPGR,52.13861,16.26556,,,,EPPG/VFR,,,,
Waypoint,Sierra,EPPGS,52.21250,16.24417,,,,EPPG/VFR,,,,
Waypoint,Delta,EPPID,53.22000,16.78694,,,,EPPI/VFR,,,,
Waypoint,Kilo,EPPIK,53.12806,16.64889,,,,EPPI/VFR,,,,
Waypoint,Zulu,EPPIZ,53.19361,16.65000,,,,EPPI/VFR,,,,
Waypoint,Echo,EPPLE,52.50583,19.83639,,,,EPPL/VFR,,,,
Waypoint,November,EPPLN,52.60611,19.79583,,,,EPPL/VFR,,,,
Waypoint,Whisky,EPPLW,52.57056,19.61139,,,,EPPL/VFR,,,,
Waypoint,Charlie,EPPOC,52.51139,16.74028,,,,EPPO/IFR/VFR,,,,
Waypoint,Echo,EPPOE,52.21139,17.28583,,,,EPPO/IFR/VFR,,,,
Waypoint,Kilo,EPPOK,52.33139,17.17111,,,,EPPO/IFR/VFR,,,,
Waypoint,Mike,EPPOM,52.23333,16.83333,,,,EPPO/IFR/VFR,,,,
Waypoint,November,EPPON,52.46528,16.85944,,,,EPPO/IFR/VFR,,,,
Waypoint,Romeo,EPPOR,52.32944,17.05083,,,,EPPO/IFR/VFR,,,,
Waypoint,Sierra,EPPOS,52.37778,16.82556,,,,EPPO/IFR/VFR,,,,
Waypoint,Tango,EPPOT,52.45306,16.98000,,,,EPPO/IFR/VFR,,,,
Waypoint,Whiskey,EPPOW,52.37583,16.62000,,,,EPPO/IFR/VFR,,,,
Waypoint,Zulu,EPPOZ,52.16667,17.16667,,,,EPPO/IFR/VFR,,,,
Waypoint,Echo,EPPRE,54.25167,18.98111,,,,EPPR/MIL,,,,
Waypoint,Juliett,EPPRJ,54.14806,18.54889,,,,EPPR/MIL,,,,
Waypoint,Kilo,EPPRK,54.32194,18.77611,,,,EPPR/MIL,,,,
Waypoint,November,EPPRN,54.26583,18.74222,,,,EPPR/MIL,,,,
Waypoint,Papa,EPPRP,54.11889,18.76722,,,,EPPR/MIL,,,,
Waypoint,Romeo,EPPRR,54.14833,18.90472,,,,EPPR/MIL,,,,
Waypoint,Sierra,EPPRS,54.18500,18.68250,,,,EPPR/MIL,,,,
Waypoint,Whiskey,EPPRW,54.23528,18.47639,,,,EPPR/MIL,,,,
Waypoint,Echo,EPPTE,51.37667,19.81944,,,,EPPT/VFR,,,,
Waypoint,November,EPPTN,51.44361,19.72333,,,,EPPT/VFR,,,,
Waypoint,Sierra,EPPTS,51.29944,19.65861,,,,EPPT/VFR,,,,
Waypoint,Whiskey,EPPTW,51.41000,19.63472,,,,EPPT/VFR,,,,
Waypoint,Bravo,EPPWB,52.43611,18.08278,,,,EPPW/MIL,,,,
Waypoint,Charlie,EPPWC,52.43222,17.49694,,,,EPPW/MIL,,,,
Waypoint,Kilo,EPPWK,52.52889,17.75333,,,,EPPW/MIL,,,,
Waypoint,Lima,EPPWL,52.41250,17.86750,,,,EPPW/MIL,,,,
Waypoint,Mike,EPPWM,52.22889,18.06028,,,,EPPW/MIL,,,,
Waypoint,November,EPPWN,52.45778,17.89111,,,,EPPW/MIL,,,,
Waypoint,Oscar,EPPWO,52.34750,17.83556,,,,EPPW/MIL,,,,
Waypoint,Sierra,EPPWS,52.31083,17.81667,,,,EPPW/MIL,,,,
Waypoint,Whiskey,EPPWW,52.34000,17.55639,,,,EPPW/MIL,,,,
Waypoint,Bravo,EPRAB,51.24722,21.23889,,,,EPRA/IFR/VFR,,,,
Waypoint,Kilo,EPRAK,51.27306,21.46028,,,,EPRA/IFR/VFR,,,,
Waypoint,Mike,EPRAM,51.36611,21.49028,,,,EPRA/IFR/VFR,,,,
Waypoint,November,EPRAN,51.44306,21.20000,,,,EPRA/IFR/VFR,,,,
Waypoint,Papa,EPRAP,51.53750,21.39889,,,,EPRA/IFR/VFR,,,,
Waypoint,Romeo,EPRAR,51.40333,21.08889,,,,EPRA/IFR/VFR,,,,
Waypoint,Sierra,EPRAS,51.31056,21.25278,,,,EPRA/IFR/VFR,,,,
Waypoint,Whiskey,EPRAW,51.25083,21.07917,,,,EPRA/IFR/VFR,,,,
Waypoint,Echo,EPRUE,50.92167,19.35667,,,,EPRU/VFR,,,,
Waypoint,November,EPRUN,50.96667,19.27722,,,,EPRU/VFR,,,,
Waypoint,Sierra,EPRUS,50.82861,19.28972,,,,EPRU/VFR,,,,
Waypoint,Whiskey,EPRUW,50.90250,19.06750,,,,EPRU/VFR,,,,
Waypoint,Bravo,EPRZB,49.98389,21.94444,,,,EPRZ/IFR/VFR,,,,
Waypoint,Golf,EPRZG,49.98389,22.40139,,,,EPRZ/IFR/VFR,,,,
Waypoint,Hotel,EPRZH,50.01944,22.25944,,,,EPRZ/IFR/VFR,,,,
Waypoint,Kilo,EPRZK,50.24611,21.78667,,,,EPRZ/IFR/VFR,,,,
Waypoint,Mike,EPRZM,50.24917,22.12194,,,,EPRZ/IFR/VFR,,,,
Waypoint,November,EPRZN,50.16667,22.03333,,,,EPRZ/IFR/VFR,,,,
Waypoint,Quebec,EPRZQ,50.03889,22.06889,,,,EPRZ/IFR/VFR,,,,
Waypoint,Tango,EPRZT,49.97278,22.03389,,,,EPRZ/IFR/VFR,,,,
Waypoint,Whiskey,EPRZW,50.06444,21.73111,,,,EPRZ/IFR/VFR,,,,
Waypoint,Yankee,EPRZY,50.06583,21.92722,,,,EPRZ/IFR/VFR,,,,
Waypoint,India,EPSCI,53.54056,14.78722,,,,EPSC/IFR/VFR,,,,
Waypoint,November,EPSCN,53.60167,14.96417,,,,EPSC/IFR/VFR,,,,
Waypoint,Romeo,EPSCR,53.65111,15.06694,,,,EPSC/IFR/VFR,,,,
Waypoint,Sierra,EPSCS,53.56778,14.84694,,,,EPSC/IFR/VFR,,,,
Waypoint,Alfa,EPSDA,53.40000,14.57667,,,,EPSD/VFR,,,,
Waypoint,Bravo,EPSDB,53.40583,14.66500,,,,EPSD/VFR,,,,
Waypoint,Charlie,EPSDC,53.39028,14.69528,,,,EPSD/VFR,,,,
Waypoint,Delta,EPSDD,53.37417,14.59667,,,,EPSD/VFR,,,,
Waypoint,Papa,EPSDP,53.37250,14.86333,,,,EPSD/VFR,,,,
Waypoint,Delta,EPSKD,54.37472,17.15111,,,,EPSK/VFR,,,,
Waypoint,Kilo,EPSKK,54.36861,17.02278,,,,EPSK/VFR,,,,
Waypoint,Lima,EPSKL,54.42500,17.00694,,,,EPSK/VFR,,,,
Waypoint,Mike,EPSKM,54.45694,17.21028,,,,EPSK/VFR,,,,
Waypoint,Bardo,EPSNB,53.83056,16.10556,,,,EPSN/MIL,,,,
Waypoint,Golf,EPSNG,53.65139,16.02778,,,,EPSN/MIL,,,,
Waypoint,Lekov,EPSNL,53.81556,15.67444,,,,EPSN/MIL,,,,
Waypoint,Mike,EPSNM,53.81083,15.86167,,,,EPSN/MIL,,,,
Waypoint,November,EPSNN,53.88583,16.01194,,,,EPSN/MIL,,,,
Waypoint,Papa,EPSNP,53.76583,15.81944,,,,EPSN/MIL,,,,
Waypoint,Redlo,EPSNR,53.77278,15.96944,,,,EPSN/MIL,,,,
Waypoint,Sierra,EPSNS,53.70028,15.81889,,,,EPSN/MIL,,,,
Waypoint,Tango,EPSNT,53.75833,15.53889,,,,EPSN/MIL,,,,
Waypoint,Whiskey,EPSNW,53.73611,16.35000,,,,EPSN/MIL,,,,
Waypoint,Yankee,EPSNY,53.94361,15.61944,,,,EPSN/MIL,,,,
Waypoint,Juliett,EPSSJ,50.81750,16.49722,,,,EPSS/VFR,,,,
Waypoint,Kilo,EPSSK,50.81167,16.64139,,,,EPSS/VFR,,,,
Waypoint,Lima,EPSSL,50.75694,16.53972,,,,EPSS/VFR,,,,
Waypoint,Zulu,EPSSZ,50.87306,16.61306,,,,EPSS/VFR,,,,
Waypoint,November,EPSUN,54.16972,22.93111,,,,EPSU/VFR,,,,
Waypoint,Sierra,EPSUS,53.93556,22.97861,,,,EPSU/VFR,,,,
Waypoint,Whisky,EPSUW,54.09333,22.65056,,,,EPSU/VFR,,,,
Waypoint,Bravo,EPSYB,53.54444,20.82028,,,,EPSY/IFR/VFR,,,,
Waypoint,Echo,EPSYE,53.47389,20.96750,,,,EPSY/IFR/VFR,,,,
Waypoint,Whiskey,EPSYW,53.50194,20.89861,,,,EPSY/IFR/VFR,,,,
Waypoint,Zulu,EPSYZ,53.42028,21.11806,,,,EPSY/IFR/VFR,,,,
Waypoint,Bravo,EPTMB,51.52944,20.42917,,,,EPTM/MIL,,,,
Waypoint,Delta,EPTMD,51.44472,20.46028,,,,EPTM/MIL,,,,
Waypoint,Echo,EPTME,51.52722,20.22639,,,,EPTM/MIL,,,,
Waypoint,Golf,EPTMG,51.69722,19.88861,,,,EPTM/MIL,,,,
Waypoint,Hotel,EPTMH,51.71222,20.03639,,,,EPTM/MIL,,,,
Waypoint,India,EPTMI,51.65028,19.80167,,,,EPTM/MIL,,,,
Waypoint,Juliett,EPTMJ,51.52222,20.06278,,,,EPTM/MIL,,,,
Waypoint,Mike,EPTMM,51.67667,20.21944,,,,EPTM/MIL,,,,
Waypoint,November,EPTMN,51.65722,20.16056,,,,EPTM/MIL,,,,
Waypoint,Sierra,EPTMS,51.47472,20.00611,,,,EPTM/MIL,,,,
Waypoint,Uniform,EPTMU,51.40000,20.18583,,,,EPTM/MIL,,,,
Waypoint,Whiskey,EPTMW,51.60111,19.92194,,,,EPTM/MIL,,,,
Waypoint,Zulu,EPTMZ,51.59833,20.29806,,,,EPTM/MIL,,,,
Waypoint,Alfa,EPWAA,52.06333,20.74333,,,,EPWA/IFR/VFR,,,,
Waypoint,Bravo,EPWAB,52.18417,20.61389,,,,EPWA/IFR/VFR,,,,
Waypoint,Delta,EPWAD,52.34333,21.22778,,,,EPWA/IFR/VFR,,,,
Waypoint,Echo,EPWAE,52.18167,20.98611,,,,EPWA/IFR/VFR,,,,
Waypoint,Foxtrot,EPWAF,52.26083,20.73556,,,,EPWA/IFR/VFR,,,,
Waypoint,Golf,EPWAG,51.99083,21.23472,,,,EPWA/IFR/VFR,,,,
Waypoint,Juliett,EPWAJ,52.37778,20.91667,,,,EPWA/IFR/VFR,,,,
Waypoint,Kilo,EPWAK,52.09139,21.23750,,,,EPWA/IFR/VFR,,,,
Waypoint,Lima,EPWAL,52.33333,20.88333,,,,EPWA/IFR/VFR,,,,
Waypoint,Mike,EPWAM,52.22278,21.25000,,,,EPWA/IFR/VFR,,,,
Waypoint,November,EPWAN,52.21750,21.09722,,,,EPWA/IFR/VFR,,,,
Waypoint,Oscar,EPWAO,52.19750,21.05167,,,,EPWA/IFR/VFR,,,,
Waypoint,Papa,EPWAP,52.30472,21.08389,,,,EPWA/IFR/VFR,,,,
Waypoint,Romeo,EPWAR,52.13500,20.88944,,,,EPWA/IFR/VFR,,,,
Waypoint,Tango,EPWAT,51.97056,20.83361,,,,EPWA/IFR/VFR,,,,
Waypoint,Whiskey,EPWAW,52.15667,20.94972,,,,EPWA/IFR/VFR,,,,
Waypoint,X-ray,EPWAX,52.10861,20.83083,,,,EPWA/IFR/VFR,,,,
Waypoint,Zulu,EPWAZ,52.29028,21.01083,,,,EPWA/IFR/VFR,,,,
Waypoint,Echo,EPWKE,52.53306,19.13694,,,,EPWK/VFR,,,,
Waypoint,November,EPWKN,52.65694,19.13389,,,,EPWK/VFR,,,,
Waypoint,Sierra,EPWKS,52.47472,18.88472,,,,EPWK/VFR,,,,
Waypoint,Whiskey,EPWKW,52.60361,18.88667,,,,EPWK/VFR,,,,
Waypoint,Golf,EPWRG,50.98944,16.83417,,,,EPWR/IFR/VFR,,,,
Waypoint,Kilo,EPWRK,51.04833,16.61333,,,,EPWR/IFR/VFR,,,,
Waypoint,November,EPWRN,51.12583,16.90306,,,,EPWR/IFR/VFR,,,,
Waypoint,Romeo,EPWRR,51.15556,16.95889,,,,EPWR/IFR/VFR,,,,
Waypoint,Sierra,EPWRS,51.07500,16.88389,,,,EPWR/IFR/VFR,,,,
Waypoint,Zulu,EPWRZ,51.25000,16.84167,,,,EPWR/IFR/VFR,,,,
Waypoint,Delta,EPWSD,51.18000,17.19250,,,,EPWS/VFR,,,,
Waypoint,Oskar,EPWSO,51.29806,16.90917,,,,EPWS/VFR,,,,
Waypoint,Tango,EPWST,51.30139,17.06250,,,,EPWS/VFR,,,,
Waypoint,Alfa,EPZAA,50.59389,23.17444,,,,EPZA/VFR,,,,
Waypoint,Bravo,EPZAB,50.71806,23.03278,,,,EPZA/VFR,,,,
Waypoint,Lima,EPZAL,50.66333,23.19556,,,,EPZA/VFR,,,,
Waypoint,Sierra,EPZAS,50.75083,23.24083,,,,EPZA/VFR,,,,
Waypoint,Zulu,EPZAZ,50.72194,23.13361,,,,EPZA/VFR,,,,
Waypoint,Charlie,EPZGC,52.03167,15.62694,,,,EPZG/IFR/VFR,,,,
Waypoint,Delta,EPZGD,52.15806,15.52000,,,,EPZG/IFR/VFR,,,,
Waypoint,India,EPZGI,52.30417,16.13139,,,,EPZG/IFR/VFR,,,,
Waypoint,Kilo,EPZGK,52.06667,15.86000,,,,EPZG/IFR/VFR,,,,
Waypoint,November,EPZGN,52.16472,15.81194,,,,EPZG/IFR/VFR,,,,
Waypoint,Sierra,EPZGS,52.12167,15.81028,,,,EPZG/IFR/VFR,,,,
Waypoint,Whiskey,EPZGW,52.09750,16.09528,,,,EPZG/IFR/VFR,,,,
Waypoint,Zulu,EPZGZ,52.23083,15.80556,,,,EPZG/IFR/VFR,,,,
Waypoint,Alfa,EPZPA,51.96639,15.53333,,,,EPZP/VFR,,,,
Waypoint,Charlie,EPZPC,52.00278,15.41667,,,,EPZP/VFR,,,,
Waypoint,November,EPZPN,51.99722,15.46667,,,,EPZP/VFR,,,,
Waypoint,Sierra,EPZPS,51.92222,15.44444,,,,EPZP/VFR,,,,
Waypoint,Zulu,EPZPZ,51.99972,15.56667,,,,EPZP/VFR,,,,
